Timestamp,Respondents initials,Article id,Q1,Comment for Q1,Q2,Comment for Q2,Q3,Comment for Q3,Q4,Comment for Q4,Q5,Comment for Q5,Q6,Comment for Q6,Q7,Comment for Q7,Q8,Comment for Q8
3/18/2022 10:47:39,"ML, JR, YY",ft029,Yes,Fig.2b,No,not mentioned,No,one moderator at a time,No,,NA,,NA,,Yes,MetaWin (Rosenberg et al. 2000),Did not use R,
3/18/2022 21:02:07,"ML, JR, YY",ft036,Yes,e.g. ,No,,No,,No,,NA,,NA,,Did not use R,used python,Did not use R,
3/15/2022 13:03:02,"ML, JR, YY",ft045,Yes,Figure 3,No,no mention,No,seperate meta-analysis,No,,NA,,NA,,Did not use R,MetaWin 2.0 (meta-analysis); Curve Expert 1.3 (meta-regression),Did not use R,
3/15/2022 13:13:49,"ML, JR, YY",ft056,Yes,Table 2,No,no mention,No,seperate analysis,No,no continuous moderator,NA,,NA,,Did not use R,MetaWin,Did not use R,
3/15/2022 13:29:00,"ML, JR, YY",ft088,Yes,Figure 2,No,no mention,No,Separate exploratory analyses - univariate,No,only categorical moderator,NA,,NA,,Yes,metafor,No,
3/15/2022 14:34:37,"ML, JR, YY",ft101,Yes,Table 1,No,no mention,No,,No,,NA,,NA,,Yes,metafor,No,"no mention of packages for graphical presentation. Replies belonging to ""No"" seem also to fit the option ""Unclear"". ""No"" only fits the conditon of when we can make sure that the authors use R to make figures (according to relevant descriptions), but there are no R packages cited in the main text.  If we are not sure about whether the auhors used  R to make figures, ""Unclear"" seems a correct answer. Need to chat how do we deal with this condition?"
3/19/2022 7:47:48,"ML, JR, YY",ft109,Yes,,No,,No,,Yes,"H4, H6",Yes,S Fig10,No,,Yes,metafor,No,
3/19/2022 8:09:34,"ML, JR, YY",ft117,Yes,,No,,Yes,"Table 3: ""Model applied: log(effect variance) = log(sample size) + social context +
experimental setting. Sample size reflects the average number of subjects
tested for a given species; social context was scored as 0 for mating and 1
for territorial defense; experimental setting was scored as 0 for laboratory
/captive based studies and 1 for field experiments. Two-way interactions
terms between sample size and context or setting were not statistically
significant and were excluded from the model.""",No,,No,,categorical x continious; categorical x categorical ,"Table 3: ""Model applied: log(effect variance) = log(sample size) + social context +
experimental setting. Sample size reflects the average number of subjects
tested for a given species; social context was scored as 0 for mating and 1
for territorial defense; experimental setting was scored as 0 for laboratory
/captive based studies and 1 for field experiments. Two-way interactions
terms between sample size and context or setting were not statistically
significant and were excluded from the model.""",Yes,metafor,No,
3/19/2022 8:17:57,"ML, JR, YY",ft125,Yes,,No,,No,,No,,NA,,NA,,No,,No,
3/19/2022 8:23:40,"ML, JR, YY",ft140,Yes,,No,,Yes,Fig5,NA,,Yes,Fig5,NA,,Did not use R,MetaWin,Did not use R,
3/31/2022 15:56:03,"ML, JR, YY",ft009,Yes,,No,,Yes,full model,Yes,full model,No,,No,,Yes,,No,"nmle, mcmcglmm"
3/31/2022 16:13:08,"ML, JR, YY",ft012,Yes,,No,,No,,No,,No,,NA,,Yes,metafor,No,
3/31/2022 16:19:47,"ML, JR, YY",ft021,Yes,,No,,No,,No,,No,,NA,,Did not use R,,Did not use R,
3/31/2022 17:13:48,"ML, JR, YY",ft037,Yes,,No,,No,,No,litter amount is a categorical variable,No,,NA,,Did not use R,,Did not use R,
3/31/2022 17:21:26,"ML, JR, YY",ft068,Yes,"""In a mixed-effects meta-regression model (table 1) random
between-study heterogeneity was partitioned by fixed moderator
variables: local climate change index interacting with broodedness,
latitude of the breeding grounds (converted to decimal degrees),
migratory habits (dummy variable: sedentary/migratory) and
the average female body mass for each species.""",No,,Yes,"""In the final model for the rate of change in the breeding season length (table 1), the number of broods (single/multibrooded)
was entered as an explanatory dummy variable,
together with its interaction with the local climate change
index (see Material and Methods), as we expected the opposite
responses in both groups. The other moderators were the
latitude of the population, average female body mass and
migratory habits of the species.""",Yes,"""In the final model for the rate of change in the breeding season length (table 1), the number of broods (single/multibrooded)
was entered as an explanatory dummy variable,
together with its interaction with the local climate change
index (see Material and Methods), as we expected the opposite
responses in both groups. The other moderators were the
latitude of the population, average female body mass and
migratory habits of the species.""",Yes,Figure 4 and 6. is from 2 separate meta-regressions,categorical x continious,"""In the final model for the rate of change in the breeding season length (table 1), the number of broods (single/multibrooded)
was entered as an explanatory dummy variable,
together with its interaction with the local climate change
index (see Material and Methods), as we expected the opposite
responses in both groups. The other moderators were the
latitude of the population, average female body mass and
migratory habits of the species.""",Yes,metafor,No,
3/31/2022 18:34:43,"ML, JR, YY",ft107,Yes,"""For each of our
three analyses, we first fit an intercept-only model to
test for an overall effect and subsequently fit a second
model including all moderators of interest (see Table 2
for the matching and carry-over analysis).""",No,,Yes,"""For each of our
three analyses, we first fit an intercept-only model to
test for an overall effect and subsequently fit a second
model including all moderators of interest (see Table 2
for the matching and carry-over analysis).",No,,No,,No,not mentioned,Yes,mcmcglmm,Yes,arm
4/5/22 20:17,"ML, JR, YY",ft128,Yes,,Yes,"All the variables were log-transformed before the analyses to normalize residuals and
reduce heteroscedasticity.",Yes,"altitude, latitude, body size, insularity, parental care and larval development as predictors.",Yes,,No,no figure,categorical x categorical; continious x continuous; continious x categorical,"""To avoid over parametrization and collinearity, we started with a model including all the second-order interactions with altitude, latitude, body size, insularity, parental care and larval development as predictors.""",Yes,Caper,No,no figure
3/31/2022 20:18:33,"ML, JR, YY",ft150,Yes,,No,,Yes,,No,,Yes,Fig1b,No,,Yes,mcmcglmm,No,
